stamp,x
0,0
1,-11
2,6
3,-10
4,-25
5,-17
6,-30
7,-26
8,-3
9,-5
10,-18
11,4
12,-18
13,-17
14,11
15,14
16,1
17,-5
18,-3
19,-16
20,-23
21,2
22,12
23,-7
24,-27
25,-3
26,-19
27,-24
28,-4
29,-5
30,-30
31,-2
32,8
33,-12
34,15
35,-24
36,-7
37,-15
38,-12
39,-8
40,-29
41,14
42,-15
43,11
44,-30
45,-20
46,-7
47,-7
48,5
49,-26
50,7
51,-17
52,13
53,13
54,-7
55,-10
56,-4
57,2
58,6
59,-5
60,-2
61,-15
62,-1
63,-15
64,-4
65,-6
66,-30
67,8
68,-29
69,-3
70,12
71,-23
72,8
73,-2
74,-15
75,7
76,-28
77,14
78,6
79,5
80,-2
81,9
82,-9
83,10
84,3
85,-17
86,2
87,-16
88,-24
89,1
90,-6
91,-27
92,-25
93,-19
94,-26
95,-14
96,-16
97,7
98,-20
99,-12
100,11
101,-6
102,-23
103,-23
104,1
105,8
106,13
107,-22
108,13
109,-9
110,3
111,2
112,0
113,-22
114,-10
115,10
116,-21
117,12
118,-22
119,-18
120,-15
